Warming up READ with 50000 iterations...
INFO  22:35:09 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
Connected to cluster: cstar_perf TOWHRLAN5U
Datatacenter: datacenter1; Host: cassandra/172.31.3.64; Rack: rack1
INFO  22:35:09 New Cassandra host cassandra/172.31.3.64:9042 added
Sleeping 2s...
Running READ with 500 threads for 150000000 iteration
total ops , adj row/s,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr,  gc: #,  max ms,  sum ms,  sdv ms,      mb
132806    ,    132772,  132772,  132772,  132772,     4.0,     3.0,     7.0,    18.9,   134.9,   153.3,    1.0,  0.00000,      0,       0,       0,       0,       0
282071    ,    161198,  143490,  143490,  143490,     3.5,     2.8,     4.4,    17.1,   119.3,   121.2,    2.0,  0.00000,      1,     111,     111,       0,    8143
467239    ,    176234,  176234,  176234,  176234,     2.8,     2.7,     3.7,     4.4,    16.0,    17.1,    3.1,  0.06838,      0,       0,       0,       0,       0
634244    ,    176226,  158074,  158074,  158074,     3.2,     2.7,     3.8,     5.6,   112.0,   113.0,    4.1,  0.06639,      1,     107,     107,       0,    8107
821840    ,    178700,  178700,  178700,  178700,     2.8,     2.7,     3.7,     4.2,     6.7,    10.4,    5.2,  0.05490,      0,       0,       0,       0,       0
986540    ,    177518,  156317,  156317,  156317,     3.2,     2.7,     3.7,     4.5,   129.5,   130.9,    6.3,  0.04683,      1,     123,     123,       0,    8113
1175973   ,    180614,  180614,  180614,  180614,     2.8,     2.7,     3.6,     4.1,     5.6,    12.5,    7.3,  0.04018,      0,       0,       0,       0,       0
1364151   ,    178835,  178835,  178835,  178835,     2.8,     2.7,     3.6,     4.2,    12.5,    13.3,    8.4,  0.03565,      0,       0,       0,       0,       0
1528466   ,    177958,  155896,  155896,  155896,     3.2,     2.7,     3.7,     4.8,   134.6,   137.1,    9.4,  0.03169,      1,     129,     129,       0,    8126
1711832   ,    174342,  174342,  174342,  174342,     2.9,     2.7,     3.7,     4.3,    30.2,    31.7,   10.5,  0.02842,      0,       0,       0,       0,       0
1884603   ,    179810,  164053,  164053,  164053,     3.0,     2.7,     3.7,     4.3,    96.0,    97.9,   11.5,  0.02559,      1,      91,      91,       0,    8110
2053624   ,    160160,  160160,  160160,  160160,     3.1,     2.7,     3.9,     7.7,    80.4,    99.8,   12.6,  0.02355,      0,       0,       0,       0,       0
2225832   ,    180284,  180284,  180284,  180284,     2.8,     2.7,     3.6,     4.1,     7.6,    12.9,   13.5,  0.02242,      0,       0,       0,       0,       0
2414853   ,    180116,  163346,  163346,  163346,     3.0,     2.7,     3.6,     4.3,   111.1,   113.5,   14.7,  0.02098,      1,     105,     105,       0,    8115
2605659   ,    181366,  181366,  181366,  181366,     2.7,     2.7,     3.6,     4.0,     4.5,     5.4,   15.7,  0.01969,      0,       0,       0,       0,       0
2776073   ,    180503,  162071,  162071,  162071,     3.1,     2.7,     3.6,     4.2,   110.6,   112.7,   16.8,  0.01861,      1,     106,     106,       0,    8106
2965196   ,    180252,  180252,  180252,  180252,     2.8,     2.7,     3.6,     4.2,     8.4,    14.2,   17.8,  0.01759,      0,       0,       0,       0,       0
3134944   ,    180396,  161464,  161464,  161464,     3.1,     2.7,     3.6,     4.3,   114.3,   116.0,   18.9,  0.01667,      1,     109,     109,       0,    8121
3322446   ,    178602,  178602,  178602,  178602,     2.8,     2.7,     3.6,     4.3,     8.3,    19.7,   19.9,  0.01584,      0,       0,       0,       0,       0
3492995   ,    179479,  161745,  161745,  161745,     3.1,     2.7,     3.7,     4.4,   107.1,   108.6,   21.0,  0.01504,      1,     102,     102,       0,    8115
3675212   ,    177001,  173450,  173450,  173450,     2.9,     2.7,     3.7,     6.4,    25.8,    49.0,   22.0,  0.01433,      0,       0,       0,       0,       0
3860728   ,    179808,  179808,  179808,  179808,     2.8,     2.7,     3.6,     4.2,     6.8,     9.1,   23.1,  0.01365,      0,       0,       0,       0,       0
4030692   ,    179785,  161741,  161741,  161741,     3.1,     2.7,     3.7,     4.3,   108.8,   110.6,   24.1,  0.01308,      1,     103,     103,       0,    8116
4219884   ,    180413,  180413,  180413,  180413,     2.8,     2.7,     3.6,     4.1,     8.2,    14.7,   25.2,  0.01254,      0,       0,       0,       0,       0
4386578   ,    179507,  161489,  161489,  161489,     3.1,     2.7,     3.7,     4.4,   107.3,   109.6,   26.2,  0.01207,      1,     102,     102,       0,    8120
4572788   ,    180842,  180842,  180842,  180842,     2.8,     2.7,     3.6,     4.1,     5.9,     8.4,   27.2,  0.01161,      0,       0,       0,       0,       0
4750586   ,    180953,  180953,  180953,  180953,     2.8,     2.7,     3.6,     4.2,     8.2,    10.3,   28.2,  0.01120,      1,     114,     114,       0,    8114
4937024   ,    180965,  162799,  162799,  162799,     3.1,     2.7,     3.6,     4.1,   118.5,   120.2,   29.4,  0.01083,      0,       0,       0,       0,       0
5126705   ,    180592,  180592,  180592,  180592,     2.8,     2.7,     3.6,     4.2,     7.2,     9.6,   30.4,  0.01048,      0,       0,       0,       0,       0
5293063   ,    179273,  161185,  161185,  161185,     3.1,     2.7,     3.6,     4.3,   107.3,   109.3,   31.4,  0.01014,      1,     103,     103,       0,    8114
5482346   ,    179946,  179946,  179946,  179946,     2.8,     2.7,     3.6,     4.2,     7.5,    11.2,   32.5,  0.00981,      0,       0,       0,       0,       0
5649796   ,    180762,  162033,  162033,  162033,     3.1,     2.7,     3.7,     4.2,   110.7,   113.2,   33.5,  0.00951,      1,     106,     106,       0,    8116
5834534   ,    179373,  179373,  179373,  179373,     2.8,     2.7,     3.6,     4.2,     8.0,     9.9,   34.6,  0.00923,      0,       0,       0,       0,       0
6020153   ,    179946,  179946,  179946,  179946,     2.8,     2.7,     3.6,     4.1,     7.6,    14.2,   35.6,  0.00896,      0,       0,       0,       0,       0
6184372   ,    179735,  158890,  158890,  158890,     3.1,     2.7,     3.6,     4.3,   122.6,   124.4,   36.6,  0.00871,      1,     116,     116,       0,    8114
6370355   ,    181500,  180539,  180539,  180539,     2.8,     2.7,     3.6,     4.1,     7.6,    11.1,   37.7,  0.00847,      0,       0,       0,       0,       0
6533674   ,    175111,  157708,  157708,  157708,     3.1,     2.7,     3.7,     4.6,   106.3,   108.6,   38.7,  0.00826,      1,     101,     101,       0,    8115
6718220   ,    177810,  177810,  177810,  177810,     2.8,     2.7,     3.6,     4.4,    19.0,    27.1,   39.7,  0.00804,      0,       0,       0,       0,       0
6883947   ,    179725,  160711,  160711,  160711,     3.1,     2.7,     3.7,     4.4,   112.0,   113.4,   40.8,  0.00783,      1,     107,     107,       0,    8119
7068897   ,    179555,  179555,  179555,  179555,     2.8,     2.7,     3.6,     4.2,     7.2,     9.5,   41.8,  0.00764,      0,       0,       0,       0,       0
7255275   ,    180312,  180312,  180312,  180312,     2.8,     2.7,     3.6,     4.2,     7.8,    10.2,   42.8,  0.00745,      0,       0,       0,       0,       0
7424470   ,    179266,  161206,  161206,  161206,     3.1,     2.7,     3.6,     4.7,   109.6,   112.0,   43.9,  0.00728,      1,     104,     104,       0,    8116
7610024   ,    180185,  180185,  180185,  180185,     2.8,     2.7,     3.6,     4.1,     8.1,     9.6,   44.9,  0.00711,      0,       0,       0,       0,       0
7774109   ,    178034,  158902,  158902,  158902,     3.1,     2.7,     3.7,     4.9,   114.8,   116.5,   45.9,  0.00695,      1,     110,     110,       0,    8112
7959360   ,    179871,  179871,  179871,  179871,     2.8,     2.7,     3.6,     4.2,     7.7,    16.5,   47.0,  0.00679,      0,       0,       0,       0,       0
8143762   ,    178694,  178694,  178694,  178694,     2.8,     2.7,     3.6,     4.4,     8.8,    20.5,   48.0,  0.00664,      1,     104,     104,       0,    8118
8330396   ,    180663,  164039,  164039,  164039,     3.0,     2.7,     3.6,     4.2,   108.6,   110.2,   49.1,  0.00650,      0,       0,       0,       0,       0
8516232   ,    180059,  180059,  180059,  180059,     2.8,     2.7,     3.6,     4.2,     8.5,    10.3,   50.2,  0.00637,      0,       0,       0,       0,       0
8681773   ,    180412,  160505,  160505,  160505,     3.1,     2.7,     3.6,     4.6,   117.3,   119.1,   51.2,  0.00624,      1,     112,     112,       0,    8118
8865719   ,    178712,  178712,  178712,  178712,     2.8,     2.7,     3.7,     4.4,     7.9,    22.3,   52.2,  0.00612,      0,       0,       0,       0,       0
9033043   ,    179930,  162249,  162249,  162249,     3.1,     2.7,     3.6,     4.6,   104.0,   105.5,   53.3,  0.00600,      1,      99,      99,       0,    8111
9216916   ,    178500,  178500,  178500,  178500,     2.8,     2.7,     3.6,     4.5,    11.9,    13.3,   54.3,  0.00589,      0,       0,       0,       0,       0
9401510   ,    178958,  178958,  178958,  178958,     2.8,     2.7,     3.6,     4.2,     8.1,    10.2,   55.3,  0.00577,      0,       0,       0,       0,       0
9565664   ,    178063,  159188,  159188,  159188,     3.1,     2.7,     3.6,     4.3,   113.4,   115.2,   56.3,  0.00567,      1,     108,     108,       0,    8115
9750520   ,    179560,  179560,  179560,  179560,     2.8,     2.7,     3.6,     4.0,     9.2,    23.9,   57.4,  0.00556,      0,       0,       0,       0,       0
9915635   ,    178527,  159770,  159770,  159770,     3.1,     2.7,     3.7,     4.5,   111.6,   113.5,   58.4,  0.00546,      1,     106,     106,       0,    8110
10101767  ,    180722,  180722,  180722,  180722,     2.8,     2.7,     3.5,     4.1,    14.2,    16.2,   59.4,  0.00536,      0,       0,       0,       0,       0
10274987  ,    179559,  179559,  179559,  179559,     2.8,     2.7,     3.6,     4.1,     9.3,    11.5,   60.4,  0.00528,      1,     101,     101,       0,    8128
10457381  ,    177151,  161134,  161134,  161134,     3.1,     2.7,     3.7,     4.4,   105.2,   107.0,   61.5,  0.00519,      0,       0,       0,       0,       0
10642961  ,    180038,  180038,  180038,  180038,     2.8,     2.7,     3.6,     4.1,     8.4,    11.2,   62.6,  0.00510,      0,       0,       0,       0,       0
10810208  ,    177690,  159046,  159046,  159046,     3.1,     2.7,     3.7,     4.5,   114.4,   116.9,   63.6,  0.00502,      1,     109,     109,       0,    8115
10995494  ,    179961,  179961,  179961,  179961,     2.8,     2.7,     3.6,     4.1,     7.5,    17.8,   64.6,  0.00494,      0,       0,       0,       0,       0
11159665  ,    176638,  158419,  158419,  158419,     3.1,     2.7,     3.7,     6.1,   111.1,   112.9,   65.7,  0.00486,      1,     106,     106,       0,    8112
