Warming up READ with 50000 iterations...
INFO  23:08:42 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
Connected to cluster: cstar_perf TOWHRLAN5U
Datatacenter: datacenter1; Host: cassandra/172.31.3.64; Rack: rack1
INFO  23:08:42 New Cassandra host cassandra/172.31.3.64:9042 added
Sleeping 2s...
Running READ with 500 threads for 150000000 iteration
total ops , adj row/s,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr,  gc: #,  max ms,  sum ms,  sdv ms,      mb
130970    ,    130357,  130357,  130357,  130357,     3.8,     3.0,     7.2,    20.4,    48.6,    88.6,    1.0,  0.00000,      0,       0,       0,       0,       0
285119    ,    161015,  146250,  146250,  146250,     3.4,     2.8,     4.2,    16.8,   102.5,   104.8,    2.1,  0.00000,      1,      92,      92,       0,    8131
460317    ,    166554,  166554,  166554,  166554,     3.0,     2.8,     4.0,    10.4,    22.8,    26.8,    3.1,  0.07440,      0,       0,       0,       0,       0
628117    ,    178327,  178327,  178327,  178327,     2.8,     2.7,     3.7,     4.3,     4.9,    11.0,    4.1,  0.06021,      0,       0,       0,       0,       0
815607    ,    178500,  153768,  153768,  153768,     3.2,     2.7,     3.7,     4.3,   171.6,   173.4,    5.3,  0.05568,      1,     166,     166,       0,    8100
1004402   ,    181048,  178863,  178863,  178863,     2.8,     2.7,     3.6,     4.1,    15.5,    16.9,    6.3,  0.04844,      0,       0,       0,       0,       0
1173466   ,    181162,  160395,  160395,  160395,     3.1,     2.7,     3.6,     4.3,   124.1,   125.9,    7.4,  0.04296,      1,     119,     119,       0,    8118
1361710   ,    178984,  178984,  178984,  178984,     2.8,     2.7,     3.7,     4.1,    11.8,    15.2,    8.4,  0.03826,      0,       0,       0,       0,       0
1529276   ,    179719,  158530,  158530,  158530,     3.1,     2.7,     3.6,     4.4,   127.4,   129.1,    9.5,  0.03405,      1,     122,     122,       0,    8126
1717914   ,    179280,  179280,  179280,  179280,     2.8,     2.7,     3.7,     4.2,     4.9,     6.1,   10.5,  0.03071,      0,       0,       0,       0,       0
1881668   ,    170749,  154936,  154936,  154936,     3.2,     2.7,     3.8,     7.3,   112.6,   133.7,   11.6,  0.02791,      1,      96,      96,       0,    8123
2063844   ,    172451,  172451,  172451,  172451,     2.9,     2.7,     3.7,     4.3,    44.9,    46.5,   12.7,  0.02539,      0,       0,       0,       0,       0
2248822   ,    175286,  175286,  175286,  175286,     2.8,     2.7,     3.8,     4.6,    20.6,    30.4,   13.7,  0.02327,      1,     100,     100,       0,    8113
2437536   ,    173425,  160457,  160457,  160457,     3.1,     2.7,     3.8,     4.5,   103.4,   114.3,   14.9,  0.02150,      0,       0,       0,       0,       0
2627630   ,    179847,  179847,  179847,  179847,     2.8,     2.7,     3.7,     4.2,     5.4,    14.6,   15.9,  0.01996,      0,       0,       0,       0,       0
2794777   ,    178525,  158479,  158479,  158479,     3.1,     2.7,     3.7,     4.4,   121.6,   124.1,   17.0,  0.01881,      1,     117,     117,       0,    8110
2986861   ,    182841,  182841,  182841,  182841,     2.7,     2.7,     3.5,     4.0,     4.6,     5.5,   18.0,  0.01772,      0,       0,       0,       0,       0
3156183   ,    181361,  160699,  160699,  160699,     3.1,     2.7,     3.6,     4.1,   122.9,   124.6,   19.1,  0.01695,      1,     118,     118,       0,    8095
3346785   ,    181464,  181464,  181464,  181464,     2.7,     2.7,     3.6,     4.1,     4.7,     5.3,   20.2,  0.01615,      0,       0,       0,       0,       0
3516908   ,    180400,  161579,  161579,  161579,     3.1,     2.7,     3.6,     4.5,   113.2,   114.8,   21.2,  0.01543,      1,     108,     108,       0,    8134
3704198   ,    181588,  181588,  181588,  181588,     2.7,     2.7,     3.6,     4.1,     5.4,     6.9,   22.2,  0.01473,      0,       0,       0,       0,       0
3896945   ,    182404,  182404,  182404,  182404,     2.7,     2.7,     3.5,     3.9,     4.6,     8.5,   23.3,  0.01413,      0,       0,       0,       0,       0
4067943   ,    180172,  162288,  162288,  162288,     3.1,     2.7,     3.6,     4.3,   108.3,   110.3,   24.3,  0.01360,      1,     104,     104,       0,    8116
4252964   ,    179526,  179526,  179526,  179526,     2.8,     2.7,     3.6,     4.1,     9.8,    11.5,   25.4,  0.01304,      0,       0,       0,       0,       0
4423913   ,    182400,  162413,  162413,  162413,     3.1,     2.7,     3.5,     4.0,   118.7,   120.2,   26.4,  0.01252,      1,     113,     113,       0,    8111
4613727   ,    180783,  180783,  180783,  180783,     2.8,     2.7,     3.6,     4.1,     4.5,    15.8,   27.5,  0.01210,      0,       0,       0,       0,       0
4785519   ,    182524,  182524,  182524,  182524,     2.7,     2.7,     3.5,     4.0,     4.5,     8.4,   28.4,  0.01167,      1,     114,     114,       0,    8118
4972608   ,    181613,  163363,  163363,  163363,     3.0,     2.7,     3.6,     4.2,   118.3,   119.9,   29.6,  0.01130,      0,       0,       0,       0,       0
5160606   ,    182023,  182023,  182023,  182023,     2.7,     2.7,     3.6,     4.0,     4.4,     5.4,   30.6,  0.01093,      0,       0,       0,       0,       0
5328184   ,    181212,  162216,  162216,  162216,     3.1,     2.7,     3.6,     4.1,   111.4,   113.5,   31.6,  0.01060,      1,     107,     107,       0,    8112
5518319   ,    181016,  181016,  181016,  181016,     2.7,     2.7,     3.6,     4.1,     6.5,     8.6,   32.7,  0.01027,      0,       0,       0,       0,       0
5684076   ,    181186,  160150,  160150,  160150,     3.1,     2.7,     3.6,     4.1,   122.9,   124.8,   33.7,  0.00996,      1,     117,     117,       0,    8125
5871221   ,    181228,  181228,  181228,  181228,     2.7,     2.7,     3.6,     4.0,     4.5,    12.8,   34.8,  0.00967,      0,       0,       0,       0,       0
6058654   ,    181159,  181159,  181159,  181159,     2.7,     2.7,     3.6,     4.1,     6.5,     7.9,   35.8,  0.00939,      0,       0,       0,       0,       0
6224049   ,    181121,  160249,  160249,  160249,     3.1,     2.7,     3.6,     4.1,   122.7,   124.5,   36.8,  0.00914,      1,     116,     116,       0,    8099
6410920   ,    181156,  181156,  181156,  181156,     2.7,     2.7,     3.6,     4.0,     4.3,     7.1,   37.8,  0.00889,      0,       0,       0,       0,       0
6579132   ,    180941,  162728,  162728,  162728,     3.1,     2.7,     3.6,     4.1,   106.5,   108.3,   38.9,  0.00866,      1,     101,     101,       0,    8122
6765395   ,    180199,  180199,  180199,  180199,     2.8,     2.7,     3.6,     4.1,     7.0,     8.9,   39.9,  0.00843,      0,       0,       0,       0,       0
6933264   ,    181916,  162284,  162284,  162284,     3.1,     2.7,     3.5,     4.1,   115.8,   117.7,   41.0,  0.00822,      1,     110,     110,       0,    8118
7118506   ,    179732,  179732,  179732,  179732,     2.8,     2.7,     3.7,     4.1,     5.4,    16.9,   42.0,  0.00802,      0,       0,       0,       0,       0
7306028   ,    180857,  180857,  180857,  180857,     2.8,     2.7,     3.6,     4.2,     7.7,    17.8,   43.0,  0.00782,      0,       0,       0,       0,       0
7474159   ,    181732,  162715,  162715,  162715,     3.1,     2.7,     3.5,     4.1,   111.0,   113.3,   44.1,  0.00764,      1,     106,     106,       0,    8119
7661439   ,    181511,  181511,  181511,  181511,     2.7,     2.7,     3.6,     4.1,     6.5,     8.5,   45.1,  0.00747,      0,       0,       0,       0,       0
7829558   ,    182188,  162679,  162679,  162679,     3.1,     2.7,     3.6,     4.1,   114.2,   116.2,   46.1,  0.00731,      1,     109,     109,       0,    8113
8017406   ,    182377,  182377,  182377,  182377,     2.7,     2.7,     3.5,     3.9,     4.4,     5.6,   47.1,  0.00716,      0,       0,       0,       0,       0
8186500   ,    181999,  163698,  163698,  163698,     3.0,     2.7,     3.5,     4.1,   107.9,   109.4,   48.2,  0.00701,      1,     103,     103,       0,    8115
8374271   ,    181876,  181876,  181876,  181876,     2.7,     2.7,     3.6,     4.0,     4.4,     5.4,   49.2,  0.00687,      0,       0,       0,       0,       0
8561607   ,    181198,  181198,  181198,  181198,     2.7,     2.7,     3.6,     4.0,     4.4,    15.3,   50.2,  0.00674,      0,       0,       0,       0,       0
8728796   ,    180072,  161768,  161768,  161768,     3.1,     2.7,     3.7,     4.3,   108.9,   111.2,   51.3,  0.00660,      1,     103,     103,       0,    8118
8916055   ,    181960,  181960,  181960,  181960,     2.7,     2.7,     3.5,     3.9,     4.4,     6.9,   52.3,  0.00647,      0,       0,       0,       0,       0
9083197   ,    181062,  161796,  161796,  161796,     3.1,     2.7,     3.6,     4.2,   113.8,   115.3,   53.3,  0.00635,      1,     109,     109,       0,    8112
9270414   ,    181655,  181655,  181655,  181655,     2.7,     2.7,     3.6,     4.0,     4.5,     6.3,   54.4,  0.00623,      0,       0,       0,       0,       0
9458816   ,    182390,  182390,  182390,  182390,     2.7,     2.7,     3.5,     4.0,     4.4,     5.3,   55.4,  0.00611,      0,       0,       0,       0,       0
9625258   ,    180234,  161338,  161338,  161338,     3.1,     2.7,     3.6,     4.3,   111.6,   113.7,   56.4,  0.00601,      1,     107,     107,       0,    8115
9811138   ,    180513,  180513,  180513,  180513,     2.8,     2.7,     3.6,     4.1,     4.7,     9.6,   57.5,  0.00590,      0,       0,       0,       0,       0
9974246   ,    180904,  158005,  158005,  158005,     3.2,     2.7,     3.6,     4.4,   134.7,   136.7,   58.5,  0.00579,      1,     129,     129,       0,    8115
10159557  ,    179754,  179754,  179754,  179754,     2.8,     2.7,     3.6,     4.1,    20.5,    30.2,   59.5,  0.00569,      0,       0,       0,       0,       0
10322860  ,    179873,  158254,  158254,  158254,     3.1,     2.7,     3.6,     4.3,   126.9,   129.0,   60.6,  0.00559,      1,     122,     122,       0,    8116
10510269  ,    181964,  181964,  181964,  181964,     2.7,     2.7,     3.6,     4.1,     4.6,     8.3,   61.6,  0.00549,      0,       0,       0,       0,       0
10697198  ,    180965,  180965,  180965,  180965,     2.8,     2.7,     3.5,     4.0,     6.8,     9.5,   62.6,  0.00541,      0,       0,       0,       0,       0
10862893  ,    181942,  160530,  160530,  160530,     3.1,     2.7,     3.6,     4.1,   125.0,   126.8,   63.7,  0.00532,      1,     120,     120,       0,    8109
