INFO  15:21:55 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  15:21:55 New Cassandra host /172.31.7.56:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.7.56; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [likelyquery0] with 250 threads for 20000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,         74090,    1666,    1666,    1666,   149.7,   143.7,   194.0,   226.3,   262.8,   268.3,   44.5,  0.01247,      0,      0,       0,       0,       0,       0
total,         76081,    1695,    1695,    1695,   148.2,   143.1,   190.0,   220.3,   270.9,   273.9,   45.7,  0.01214,      0,      0,       0,       0,       0,       0
total,         78167,    1736,    1736,    1736,   143.9,   137.1,   189.4,   223.0,   253.3,   269.9,   46.9,  0.01187,      0,      0,       0,       0,       0,       0
total,         80240,    1679,    1679,    1679,   148.9,   142.3,   192.2,   224.5,   277.4,   293.0,   48.1,  0.01157,      0,      0,       0,       0,       0,       0
total,         82394,    1734,    1734,    1734,   144.3,   139.4,   185.5,   215.1,   260.8,   276.4,   49.3,  0.01132,      0,      0,       0,       0,       0,       0
total,         84558,    1783,    1783,    1783,   139.6,   135.1,   175.8,   207.8,   233.6,   245.4,   50.6,  0.01114,      0,      0,       0,       0,       0,       0
total,         86783,    1868,    1868,    1868,   133.2,   130.1,   166.5,   199.4,   217.9,   220.8,   51.8,  0.01118,      0,      0,       0,       0,       0,       0
total,         88732,    1685,    1685,    1685,   149.2,   145.7,   185.2,   213.0,   248.7,   252.0,   52.9,  0.01092,      0,      0,       0,       0,       0,       0
total,         90734,    1628,    1628,    1628,   153.6,   148.8,   195.0,   230.2,   264.3,   306.3,   54.1,  0.01071,      0,      0,       0,       0,       0,       0
total,         92598,    1527,    1527,    1527,   158.0,   150.9,   207.5,   236.2,   284.3,   292.4,   55.4,  0.01067,      0,      0,       0,       0,       0,       0
total,         94462,    1611,    1611,    1611,   160.8,   158.5,   201.6,   227.6,   254.7,   261.3,   56.5,  0.01048,      0,      0,       0,       0,       0,       0
total,         96418,    1574,    1574,    1574,   158.4,   155.0,   199.3,   225.7,   263.4,   265.5,   57.8,  0.01034,      0,      0,       0,       0,       0,       0
total,         98348,    1631,    1631,    1631,   152.9,   150.2,   186.1,   210.8,   239.0,   239.6,   58.9,  0.01015,      0,      0,       0,       0,       0,       0
total,        100449,    1605,    1605,    1605,   155.7,   151.7,   196.6,   223.8,   260.9,   314.9,   60.3,  0.00998,      0,      0,       0,       0,       0,       0
total,        102455,    1617,    1617,    1617,   155.6,   152.5,   191.0,   218.6,   247.2,   275.8,   61.5,  0.00981,      0,      0,       0,       0,       0,       0
total,        104381,    1617,    1617,    1617,   153.8,   147.7,   199.0,   225.1,   276.5,   278.0,   62.7,  0.00964,      0,      0,       0,       0,       0,       0
total,        106299,    1594,    1594,    1594,   156.1,   152.5,   192.3,   216.5,   263.4,   271.1,   63.9,  0.00950,      0,      0,       0,       0,       0,       0
total,        108215,    1596,    1596,    1596,   152.3,   147.9,   191.3,   217.0,   242.3,   260.3,   65.1,  0.00937,      0,      0,       0,       0,       0,       0
total,        110168,    1641,    1641,    1641,   157.1,   154.1,   197.1,   222.2,   261.9,   265.4,   66.3,  0.00920,      0,      0,       0,       0,       0,       0
total,        112081,    1611,    1611,    1611,   155.1,   151.2,   200.9,   232.5,   269.1,   271.5,   67.5,  0.00906,      0,      0,       0,       0,       0,       0
total,        114051,    1673,    1673,    1673,   150.0,   147.4,   184.7,   207.9,   235.0,   247.8,   68.6,  0.00890,      0,      0,       0,       0,       0,       0
total,        116097,    1667,    1667,    1667,   149.7,   144.5,   190.9,   219.8,   267.0,   287.4,   69.9,  0.00875,      0,      0,       0,       0,       0,       0
